0.010,2.000
0.199,2.000
0.034,2.000
0.604,2.000
0.180,2.000
0.005,2.000
0.015,2.000
0.020,2.000
0.048,2.000
0.002,2.000
0.057,2.000
0.091,2.000
0.253,2.000
0.366,2.000
0.440,2.000
0.019,2.000
0.024,2.000
0.233,2.000
0.314,2.000
0.024,2.000
0.001,2.000
0.000,2.000
0.118,2.000
0.001,2.000
0.279,2.000
0.002,2.000
0.341,2.000
0.018,2.000
0.052,2.000
0.282,2.000
0.008,2.000
0.022,2.000
0.036,2.000
0.032,2.000
0.118,2.000
0.043,2.000
0.297,2.000
0.057,2.000
0.013,2.000
0.135,2.000
0.000,2.000
0.004,2.000
0.002,2.000
0.002,2.000
0.533,2.000
0.006,2.000
0.002,2.000
0.092,2.000
0.375,2.000
0.183,2.000
0.018,2.000
0.064,2.000
0.456,2.000
0.128,2.000
0.246,2.000
0.120,2.000
0.004,2.000
0.193,2.000
0.017,2.000
0.000,2.000
0.435,2.000
0.257,2.000
0.000,2.000
0.273,2.000
0.374,2.000
0.003,2.000
0.001,2.000
0.008,2.000
0.125,2.000
0.002,2.000
0.013,2.000
0.783,2.000
0.518,2.000
0.055,2.000
0.727,2.000
0.000,2.000
0.340,2.000
0.470,2.000
0.855,2.000
0.005,2.000
0.555,2.000
0.186,2.000
0.025,2.000
0.011,2.000
0.193,2.000
0.019,2.000
0.008,2.000
0.170,2.000
0.022,2.000
0.040,2.000
0.021,2.000
0.045,2.000
0.007,2.000
0.005,2.000
0.004,2.000
0.170,2.000
0.060,2.000
0.057,2.000
0.716,2.000
0.015,2.000
0.228,2.000
0.017,2.000
0.247,2.000
0.123,2.000
0.007,2.000
0.181,2.000
0.378,2.000
0.677,2.000
0.488,2.000
0.487,2.000
0.700,2.000
0.403,2.000
0.656,2.000
0.009,2.000
0.141,2.000
0.119,2.000
0.066,2.000
0.003,2.000
0.003,2.000
0.024,2.000
0.013,2.000
0.013,2.000
0.009,2.000
0.001,2.000
0.674,2.000
0.016,2.000
0.107,2.000
0.013,2.000
0.022,2.000
0.045,2.000
0.055,2.000
0.022,2.000
0.244,2.000
0.067,2.000
0.000,2.000
0.023,2.000
0.103,2.000
0.096,2.000
0.009,2.000
0.354,2.000
0.005,2.000
0.001,2.000
0.051,2.000
0.025,2.000
0.221,2.000
0.937,2.000
0.000,2.000
0.284,2.000
0.096,2.000
0.334,2.000
0.065,2.000
0.185,2.000
0.689,2.000
0.000,2.000
0.002,2.000
0.023,2.000
0.002,2.000
0.073,2.000
0.190,2.000
0.188,2.000
