0.013,187813.000,0.716,0.000,0.043,88.541,0.637,1.000
0.488,126827.000,0.868,0.000,0.128,177.125,0.587,2.000
0.203,286213.000,0.916,0.000,0.178,103.709,0.620,2.000
0.004,210472.000,0.693,0.000,0.140,133.981,0.513,1.000
0.096,241733.000,0.490,0.000,0.339,155.909,0.646,2.000
0.342,259040.000,0.445,0.000,0.032,77.092,0.495,1.000
0.007,343784.000,0.506,0.205,0.026,116.392,0.354,2.000
0.051,202480.000,0.741,0.000,0.041,120.079,0.845,1.000
0.007,187840.000,0.768,0.000,0.188,100.000,0.954,1.000
0.010,208733.000,0.910,0.000,0.057,113.054,0.481,1.000
0.310,232573.000,0.661,0.000,0.226,129.491,0.864,1.000
0.044,321560.000,0.462,0.793,0.033,120.012,0.289,2.000
0.580,245960.000,0.699,0.276,0.100,120.927,0.312,1.000
0.220,207186.000,0.747,0.000,0.058,81.805,0.365,2.000
0.300,266293.000,0.563,0.000,0.031,166.004,0.462,1.000
0.004,186122.000,0.402,0.000,0.164,147.028,0.069,2.000
0.000,146227.000,0.972,0.001,0.051,133.064,0.480,2.000
0.263,260413.000,0.580,0.663,0.049,140.040,0.144,2.000
0.000,282401.000,0.983,0.004,0.128,113.711,0.131,1.000
0.030,184040.000,0.845,0.000,0.052,132.023,0.761,1.000
0.674,226333.000,0.449,0.001,0.092,209.686,0.748,2.000
0.009,171933.000,0.844,0.711,0.058,94.988,0.540,2.000
0.005,280173.000,0.469,0.000,0.047,132.002,0.321,2.000
0.565,247293.000,0.374,0.001,0.177,166.999,0.573,2.000
0.149,190476.000,0.646,0.002,0.061,125.923,0.401,1.000
0.648,228067.000,0.508,0.003,0.034,155.128,0.191,1.000
0.128,184134.000,0.799,0.000,0.041,104.020,0.537,1.000
0.440,247288.000,0.603,0.000,0.079,125.011,0.351,2.000
0.127,278147.000,0.609,0.000,0.236,107.699,0.522,2.000
0.193,460400.000,0.733,0.000,0.237,97.835,0.761,2.000
0.000,183581.000,0.616,0.425,0.058,124.036,0.614,2.000
0.002,225427.000,0.609,0.000,0.127,158.314,0.298,1.000
0.048,141724.000,0.817,0.000,0.239,135.345,0.493,2.000
0.001,375179.000,0.481,0.883,0.149,114.003,0.314,2.000
0.765,213786.000,0.896,0.685,0.053,86.808,0.654,2.000
0.163,249093.000,0.593,0.000,0.092,94.364,0.595,1.000
0.096,252095.000,0.292,0.003,0.474,153.547,0.111,2.000
0.152,227928.000,0.542,0.000,0.028,81.340,0.246,1.000
0.077,241133.000,0.744,0.000,0.055,92.515,0.528,1.000
0.559,199140.000,0.694,0.000,0.038,130.057,0.447,1.000
0.049,461560.000,0.808,0.734,0.052,120.248,0.816,2.000
0.652,217798.000,0.362,0.000,0.038,116.845,0.144,2.000
0.273,232251.000,0.700,0.000,0.057,140.058,0.887,2.000
0.062,190440.000,0.539,0.031,0.094,147.730,0.761,2.000
0.886,255107.000,0.075,0.927,0.030,87.791,0.088,1.000
0.038,176675.000,0.620,0.000,0.043,81.998,0.904,2.000
0.071,275867.000,0.712,0.000,0.103,120.000,0.458,2.000
0.009,188253.000,0.799,0.000,0.028,125.976,0.675,1.000
0.280,236667.000,0.663,0.000,0.042,75.976,0.295,1.000
0.000,261587.000,0.950,0.029,0.068,120.038,0.298,2.000
0.003,237293.000,0.513,0.000,0.097,130.047,0.256,2.000
0.030,315000.000,0.838,0.000,0.028,127.971,0.584,2.000
0.023,335609.000,0.929,0.379,0.077,123.036,0.706,1.000
0.031,304138.000,0.857,0.380,0.093,121.999,0.826,2.000
0.403,203467.000,0.801,0.000,0.030,128.011,0.787,1.000
0.010,323480.000,0.621,0.001,0.047,140.030,0.398,2.000
0.054,322760.000,0.547,0.044,0.025,141.378,0.851,2.000
0.830,238265.000,0.582,0.000,0.042,186.346,0.289,1.000
0.045,243800.000,0.617,0.000,0.065,122.065,0.130,2.000
0.043,230693.000,0.581,0.000,0.323,110.953,0.372,2.000
0.005,227160.000,0.799,0.016,0.035,92.215,0.426,2.000
0.073,219333.000,0.779,0.000,0.235,110.037,0.581,2.000
0.311,205740.000,0.617,0.000,0.256,140.124,0.508,2.000
0.108,336160.000,0.708,0.064,0.039,141.996,0.966,2.000
0.007,212986.000,0.846,0.002,0.044,122.035,0.695,2.000
0.064,224480.000,0.840,0.112,0.029,132.475,0.745,2.000
0.257,225347.000,0.656,0.000,0.047,79.638,0.671,2.000
0.122,227292.000,0.793,0.000,0.064,106.035,0.540,1.000
0.116,204293.000,0.883,0.000,0.180,140.974,0.781,2.000
0.019,206000.000,0.906,0.000,0.044,161.905,0.690,1.000
0.103,191160.000,0.582,0.000,0.309,172.030,0.564,2.000
0.086,242253.000,0.567,0.000,0.080,135.553,0.116,2.000
0.042,207040.000,0.685,0.000,0.075,97.524,0.695,2.000
0.107,591707.000,0.924,0.027,0.057,90.852,0.886,2.000
0.007,106680.000,0.721,0.000,0.033,93.310,0.673,1.000
0.002,200733.000,0.778,0.000,0.218,169.923,0.242,1.000
0.028,194942.000,0.962,0.000,0.215,104.563,0.507,1.000
0.375,195419.000,0.588,0.000,0.413,83.204,0.683,2.000
0.080,393827.000,0.429,0.000,0.028,131.206,0.237,1.000
0.202,249640.000,0.604,0.000,0.031,131.935,0.225,1.000
0.950,305427.000,0.237,0.927,0.030,162.892,0.073,1.000
0.547,210323.000,0.838,0.000,0.053,93.050,0.740,1.000
0.403,142333.000,0.710,0.000,0.114,128.181,0.930,2.000
0.044,192041.000,0.832,0.000,0.147,162.030,0.479,1.000
0.173,217893.000,0.794,0.000,0.126,175.822,0.919,1.000
0.070,269173.000,0.677,0.000,0.033,153.919,0.265,1.000
0.009,202160.000,0.792,0.011,0.036,161.933,0.696,2.000
0.025,201049.000,0.824,0.627,0.222,154.008,0.921,2.000
0.039,217480.000,0.678,0.000,0.040,141.951,0.381,1.000
0.268,235947.000,0.659,0.000,0.082,87.539,0.246,1.000
0.001,255725.000,0.980,0.001,0.133,139.024,0.066,1.000
0.002,226840.000,0.603,0.000,0.237,99.994,0.386,2.000
0.200,215600.000,0.803,0.000,0.039,97.043,0.343,1.000
0.016,233813.000,0.616,0.130,0.039,111.038,0.373,2.000
0.009,261933.000,0.947,0.000,0.041,88.009,0.762,1.000
0.429,141493.000,0.952,0.001,0.094,136.958,0.628,2.000
0.198,326318.000,0.520,0.273,0.187,114.959,0.717,2.000
0.763,275227.000,0.709,0.000,0.340,89.094,0.497,2.000
0.403,199973.000,0.664,0.000,0.083,149.939,0.960,2.000
0.018,415371.000,0.590,0.006,0.054,126.024,0.346,2.000
0.086,230733.000,0.579,0.000,0.221,82.897,0.415,1.000
0.005,245656.000,0.949,0.000,0.066,149.935,0.257,1.000
0.211,230720.000,0.547,0.044,0.029,131.990,0.127,2.000
0.017,194240.000,0.745,0.001,0.026,91.000,0.585,1.000
0.918,507533.000,0.086,0.902,0.035,107.436,0.152,1.000
0.013,592920.000,0.647,0.000,0.048,131.952,0.204,2.000
0.009,229093.000,0.824,0.000,0.079,161.977,0.692,1.000
0.134,246685.000,0.640,0.000,0.291,125.462,0.311,2.000
0.001,139560.000,0.964,0.000,0.066,98.496,0.579,2.000
